run_id,artifact_dir,execution_attempt,task,condition,reset_state,repetition,task_sha256,model,model_identity,context_audit,outcome_status,is_result,functional_valid,functional_executed,semantic_pass,semantic_fail,semantic_expected,semantic_executed,TOTAL_INPUT_TOKENS,input_tokens,cache_creation_input_tokens,cache_read_input_tokens,TOTAL_OUTPUT_TOKENS,cost_usd,usage_source,MODEL_WALL_SECONDS,TOTAL_RUN_SECONDS,TURNS_USED,hit_turn_ceiling,efficiency_status,TOTAL_TOOL_CALLS,EXPLORATION_CALLS,READ_CALLS,GREP_CALLS,GLOB_CALLS,BASH_CALLS,EDIT_CALLS,WRITE_CALLS,UNIQUE_FILES_READ,UNIQUE_FILES_MODIFIED,FILES_REEDITED,CI_COMMAND_RUNS,TEST_COMMAND_RUNS,FAILED_TEST_OR_CI_CYCLES,checkpoint_id,checkpoint_reached,pre_reset_turns_used,post_reset_turns_used,reset_status
afci-efficiency-pilot-pt01-c4-real-r3-non-reset-a2-19f8e00a7238,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r3-non-reset-a2-19f8e00a7238,2,PT01,C4,NON_RESET,3,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,556191,31,29217,526943,9287,0.47278289999999995,terminal_result,89.126,92.086,16,False,COMPLETED_NATURALLY,21,8,8,0,0,6,7,0,8,4,2,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt01-c4-real-r3-reset-a2-9838d8d3c642,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt01-c4-real-r3-reset-a2-9838d8d3c642,2,PT01,C4,RESET,3,6c938822fe19cd6e87942a6ee24ec8f604c0883da1b7f80d45216be35d7c9c39,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,568028,42,38574,529412,,,per_message_partial,94.823,97.824,22,False,RESET_COMPLETE,27,11,11,0,0,11,5,0,8,2,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,10,12,RESET_COMPLETE
afci-efficiency-pilot-pt04-c1-real-r1-non-reset-a2-2765c91dd156,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r1-non-reset-a2-2765c91dd156,2,PT04,C1,NON_RESET,1,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,862884,51,33418,829415,16860,0.7023855,terminal_result,199.572,202.639,26,False,COMPLETED_NATURALLY,25,7,7,0,0,13,5,0,6,3,1,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c1-real-r1-reset-a2-62382ec94faa,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r1-reset-a2-62382ec94faa,2,PT04,C1,RESET,1,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,False,True,0,4,4,4,354957,31,15667,339259,3318,0.2456427,terminal_result,51.971,55.045,16,,RESET_CHECKPOINT_NOT_REACHED,15,4,4,0,0,11,0,0,4,0,0,1,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,False,16,,RESET_CHECKPOINT_NOT_REACHED
afci-efficiency-pilot-pt04-c1-real-r2-non-reset-a2-aa38d0744372,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r2-non-reset-a2-aa38d0744372,2,PT04,C1,NON_RESET,2,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,767489,47,28940,738502,13888,0.6036516000000002,terminal_result,180.179,183.321,24,False,COMPLETED_NATURALLY,23,7,6,1,0,11,5,0,5,3,1,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c1-real-r2-reset-a2-164d3700f008,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r2-reset-a2-164d3700f008,2,PT04,C1,RESET,2,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,904798,66,44725,860007,,,per_message_partial,297.842,301.122,34,False,RESET_COMPLETE,35,12,11,1,0,16,6,1,8,5,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,20,14,RESET_COMPLETE
afci-efficiency-pilot-pt04-c1-real-r3-non-reset-a2-28cfcae5eed5,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r3-non-reset-a2-28cfcae5eed5,2,PT04,C1,NON_RESET,3,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,912113,53,35981,876079,15952,0.7181487,terminal_result,180.429,183.541,27,False,COMPLETED_NATURALLY,26,8,8,0,0,12,6,0,5,3,2,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c1-real-r3-reset-a2-50608304e8bd,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c1-real-r3-reset-a2-50608304e8bd,2,PT04,C1,RESET,3,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,928820,58,53578,875184,,,per_message_partial,326.157,329.285,30,False,RESET_COMPLETE,31,12,9,2,1,11,7,1,6,5,2,1,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,19,11,RESET_COMPLETE
afci-efficiency-pilot-pt04-c4-real-r1-non-reset-a2-dd3b8ba6873f,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r1-non-reset-a2-dd3b8ba6873f,2,PT04,C4,NON_RESET,1,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,727906,37,35782,692087,14714,0.6431391,terminal_result,172.929,176.032,19,False,COMPLETED_NATURALLY,23,11,10,1,0,7,5,0,9,3,1,0,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c4-real-r1-reset-a2-eda4bbb31847,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r1-reset-a2-eda4bbb31847,2,PT04,C4,RESET,1,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1236658,70,70789,1165799,,,per_message_partial,307.286,310.486,36,False,RESET_COMPLETE,45,21,21,0,0,16,8,0,10,5,2,1,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,18,18,RESET_COMPLETE
afci-efficiency-pilot-pt04-c4-real-r2-non-reset-a2-57223de7866f,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r2-non-reset-a2-57223de7866f,2,PT04,C4,NON_RESET,2,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1075596,49,53160,1022387,18355,0.9011481,terminal_result,210.019,213.139,25,False,COMPLETED_NATURALLY,29,11,9,2,0,8,10,0,7,5,3,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c4-real-r2-reset-a2-77bc2d9c2e7b,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r2-reset-a2-77bc2d9c2e7b,2,PT04,C4,RESET,2,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,843692,48,54657,788987,,,per_message_partial,220.443,223.561,25,False,RESET_COMPLETE,31,16,16,0,0,8,6,1,8,5,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,16,9,RESET_COMPLETE
afci-efficiency-pilot-pt04-c4-real-r3-non-reset-a2-0735b236b265,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r3-non-reset-a2-0735b236b265,2,PT04,C4,NON_RESET,3,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,739987,37,37105,702845,16627,0.6829994999999999,terminal_result,225.646,228.743,19,False,COMPLETED_NATURALLY,21,7,7,0,0,6,7,1,6,5,3,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt04-c4-real-r3-reset-a2-706f3ceefdce,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt04-c4-real-r3-reset-a2-706f3ceefdce,2,PT04,C4,RESET,3,f349b150b1d8fe5676fed8460b1840b988ee2bb0a78b1966ef82ae9ce9c8a9b5,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1279551,62,64580,1214909,,,per_message_partial,320.728,323.92,32,False,RESET_COMPLETE,38,15,14,1,0,11,12,0,8,5,3,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,23,9,RESET_COMPLETE
afci-efficiency-pilot-pt07-c1-real-r1-non-reset-a2-bad417bb05bd,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r1-non-reset-a2-bad417bb05bd,2,PT07,C1,NON_RESET,1,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,545838,33,39127,506678,7829,0.5042994000000002,terminal_result,90.682,94.415,17,False,COMPLETED_NATURALLY,21,7,7,0,0,8,6,0,7,4,2,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c1-real-r1-reset-a2-d75fd9e6d358,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r1-reset-a2-d75fd9e6d358,2,PT07,C1,RESET,1,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,733633,54,43740,689839,,,per_message_partial,162.142,165.438,28,False,RESET_COMPLETE,34,13,13,0,0,15,6,0,9,4,2,1,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,13,15,RESET_COMPLETE
afci-efficiency-pilot-pt07-c1-real-r2-non-reset-a2-586e0e35cc88,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r2-non-reset-a2-586e0e35cc88,2,PT07,C1,NON_RESET,2,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,619370,43,23809,595518,7177,0.42929340000000005,terminal_result,84.156,87.416,22,False,COMPLETED_NATURALLY,21,6,6,0,0,9,6,0,6,4,2,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c1-real-r2-reset-a2-95a258bd3e32,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r2-reset-a2-95a258bd3e32,2,PT07,C1,RESET,2,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,763311,56,41701,721554,,,per_message_partial,118.537,121.868,29,False,RESET_COMPLETE,35,14,14,0,0,15,6,0,9,4,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,14,15,RESET_COMPLETE
afci-efficiency-pilot-pt07-c1-real-r3-non-reset-a2-55bc9c414a86,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r3-non-reset-a2-55bc9c414a86,2,PT07,C1,NON_RESET,3,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,666338,43,26639,639656,7028,0.40460055,terminal_result,98.745,102.1,22,False,COMPLETED_NATURALLY,21,7,7,0,0,8,6,0,7,4,2,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c1-real-r3-reset-a2-950c04a01930,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c1-real-r3-reset-a2-950c04a01930,2,PT07,C1,RESET,3,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,730940,58,36960,693922,,,per_message_partial,108.91,112.251,30,False,RESET_COMPLETE,29,11,11,0,0,12,6,0,7,4,2,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,17,13,RESET_COMPLETE
afci-efficiency-pilot-pt07-c4-real-r1-non-reset-a2-26f8edf79052,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r1-non-reset-a2-26f8edf79052,2,PT07,C4,NON_RESET,1,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1196878,53,43288,1153537,17050,0.8616980999999999,terminal_result,158.811,162.325,27,False,COMPLETED_NATURALLY,34,12,12,0,0,9,13,0,12,7,5,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c4-real-r1-reset-a2-d40d5e1bfb24,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r1-reset-a2-d40d5e1bfb24,2,PT07,C4,RESET,1,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1028101,54,59982,968065,,,per_message_partial,198.94,202.309,28,False,RESET_COMPLETE,39,15,15,0,0,12,12,0,9,7,5,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,17,11,RESET_COMPLETE
afci-efficiency-pilot-pt07-c4-real-r2-non-reset-a2-ef96b3c4a934,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r2-non-reset-a2-ef96b3c4a934,2,PT07,C4,NON_RESET,2,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1062096,45,44033,1018018,18758,0.8511083999999999,terminal_result,162.93,166.263,23,False,COMPLETED_NATURALLY,30,12,12,0,0,7,11,0,11,7,4,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c4-real-r2-reset-a2-1f36162e98dd,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r2-reset-a2-1f36162e98dd,2,PT07,C4,RESET,2,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1075846,64,55216,1020566,,,per_message_partial,172.035,175.336,33,False,RESET_COMPLETE,40,15,15,0,0,13,12,0,11,7,5,2,0,0,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,17,16,RESET_COMPLETE
afci-efficiency-pilot-pt07-c4-real-r3-non-reset-a2-2740f06df5ff,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r3-non-reset-a2-2740f06df5ff,2,PT07,C4,NON_RESET,3,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1095041,47,45339,1049655,17632,0.7627237500000001,terminal_result,163.156,166.44,24,False,COMPLETED_NATURALLY,31,11,11,0,0,8,12,0,10,7,5,1,0,0,,,,,COMPLETED_NATURALLY
afci-efficiency-pilot-pt07-c4-real-r3-reset-a2-e99132a8274c,D:\afci-runs\attempt-2\afci-efficiency-pilot-pt07-c4-real-r3-reset-a2-e99132a8274c,2,PT07,C4,RESET,3,557caed09420354efbc823c8b72e54b0760ac72847aba0d9c07d99e37ff7d2d7,claude-sonnet-5,VALIDATED,CLEAN,COMPLETE,False,True,True,4,0,4,4,1052817,54,60151,992612,,,per_message_partial,196.572,200.364,28,False,RESET_COMPLETE,39,16,15,1,0,11,12,0,9,7,5,2,0,1,CK-EFF-FALLBACK-CI-AGENT-AFTER-EDIT,True,19,9,RESET_COMPLETE
